ID	HeatJan	CoolJuly	HeatTotal	CoolTotal	zone_area	bldg_height	op_S_area	op_E_area	op_N_area	op_W_area	gl_S_area	gl_E_area	gl_N_area	gl_W_area	roof_op_area	op_belowgrade_area	bldg_mass_type	roof_op_uValue	op_uValue	gl_uValue	gl_solar_trans	zone_occ_density	zone_occ_metabolic_rate	zone_app_heat_flow_rate	zone_light_heat_flow_rate	zone_freshair_per_occ	totalocc	totalapp	totallight	avgOccWeek	avgAppWeek	avgLightWeek
1	13.77	15.81	41.02	84.24	2034.3	14.6304	340.615	306.09	333.525	300.175	48.771	74.135	62.43	74.136	607.615	0	2	0.2446	1.158	2.43	0.53	10	100	5	8	10	73.5	48.3	42	0.09375	0.2875	0.25
2	6.95	23.62	17.26	160.59	10742	17.0695	1113.41	1515.02	1079.175	1573.52	662.76	775.69	742.33	572.705	3259.9	0	2	0.42595	0.59125	2.76	0.54	9.639857218	139.4261691	9.718262893	21.30309649	10.47794389	33.26839067	65.4	60	0.592022054	1	1
3	12.66	24.88	35.48	157.74	2863.78	14.933	641.964	554.705	573.0535	476.3795	82.3985	94.66	210.525	76.0535	504.845	235.256	2	0.2566	1.554	1.703	0.47	10.6775742	127.1612237	14.22834331	22.66732256	10	39.5172093	87.97748339	55.46864181	0.695929691	1	0.927446933
4	13.77	15.81	41.02	84.24	2034.3	14.6304	340.615	306.09	333.525	300.175	48.771	74.135	62.43	74.136	607.615	0	2	0.2446	1.158	2.43	0.53	10	100	5	8	10	73.5	48.3	42	0.09375	0.2875	0.25
5	2.38	19.41	4.72	138.01	802.48	10.422	204.76	233.01	205.86	235.61	26.355	29.22	24.1	25.225	401.24	0	3	0.2494	0.37235	1.533	0.5	14.28571429	120	10	25	10	46.25	65.4	60	0.8125	1	1
6	6.21	22.66	14.88	149.61	2961.115	11.58	452.255	792.765	468.305	792.955	31.215	0	3.202	0	2839.435	0	3	0.46865	0.92375	3.458	0.51	11.13130616	166.1426522	3.303178026	28.20409288	10	27.55426731	83.6034856	91.92433177	0.224523713	0.837774375	0.774505257
7	2.38	20.86	4.75	153.8	5404.27	10.97	659.6	289.175	599.1	284.175	172.22	3.342	284.8	13.38	1801.375	0	3	0.37005	0.4838	4.826	0.763	11.1116	144.44068	10	32.49851506	11.222034	46.25	65.4	60	0.8125	1	1
8	4.98	27.79	11.09	200.32	7175.251	14.63	998.345	590.125	837.295	621.675	370.62	78.69	729.675	20.055	1718.45	0	3	0.37005	0.4838	4.826	0.77005	8.307273912	145.761593	20.73822783	29.05309166	10	46.25	65.4	60	0.8125	1	1
9	2.98	18	5.67	126.23	7971.365	23.47	1221.46	1167.595	1078.5835	1154.054	90.855	86.94	90.86	73.18	2896.585	359.5695	3	0.51235	0.3028	5.867	0.69	8.743893792	145.1841636	9.405261207	24.24781703	10.66060499	37.46230153	85.80049174	57.52920872	0.663307322	1	0.958906512
10	20.84	20.18	63.81	99.78	2051.22	10.67	312.515	371.39	307.17	321.38	36.84	71.35	52.065	47.34	645.435	0	3	1.204	2.003	3.378	0.6	10.22531355	118.2125229	5.608264838	9.983451312	10	46.51181343	57.78754093	52.79773399	0.214317474	0.682814205	0.699905583
11	5.2	19.65	10.85	118.51	3689.37	7.315	409.795	249.29	321.165	314.155	84.4855	125.495	170.885	65.0605	2017.87	0	4	0.63165	0.20855	5.655	0.69	11.52607192	122.3151901	9.605274071	19.46862879	10	26.55686187	86.58003136	57.20008214	0.478776724	1	0.950783186
12	14.79	26.13	40.5	151.99	9637.735	13.72	565.3273225	1152.102323	514.0223225	1151.102323	98.653	130.523	212.62	135.37	4200.91	0	3	2.2475	0.9458	5.766	0.69	7.85708575	160.4094323	11.80243491	19.94812318	14.05866746	38.13307138	70.37997109	65.0232967	0.595967431	0.871327652	0.891449807
13	3.05	18.53	5.58	119.18	5268.99	12.19	547.275	907.735	465.085	906.13	7.431	53.18	119.245	60.645	1434.205	0	4	1.2475	0.3208	5.581	0.69	9.437532927	150.4403296	7.473685659	27.30959349	11.20550034	34.7420601	65.48028897	59.98153588	0.617728212	1	1
14	15.63	19.13	44.9	103.5	2137.205	14.9605	418.13	155.005	466.525	154.435	165.09	8.95	116.695	9.56	454.145	0	3	2.468	0.66465	5.6085	0.76	8.84784647	118.9019513	6.536731385	9.456094525	10.43267574	39.09375063	52.38871763	46.97252854	0.140784984	0.597449618	0.525588999
15	3.4	12.7	6.83	80.88	11397.815	28.96	1337.115	1409.335	1331.91	1409.175	43.38	46.045	53.69	46.085	1777.815	1156	3	0.647	0.45445	5.848	0.76	6.459322954	165.4821636	3.893670761	13.04542099	10	29.48870108	75.89533098	73.18966157	0.353031801	1	1
16	5.81	19.8	13.33	127.71	17653.095	13.427	2309.855	2565.085	2460.555	2417.345	627.515	890.115	532.94	329.315	6222.665	0	3	0.1872	1.0065	2.799	0.5	8.744811666	140.4004518	7.928166137	23.05716788	10.68322386	33.21306585	76.00258627	58.6186823	0.591938796	1	0.983456615
17	8.54	22.39	21.15	139.33	8681.81	25.142	1185.835574	763.270574	702.855574	767.415574	322.805	55.815	938.02	36.575	1976.445	0	3	0.6535	0.45945	5.667	0.76	6.668019351	170.872543	8.681230066	18.19160405	10	32.94092757	70.56965792	70.38743846	0.393260697	1	1
18	2.3	17.05	4.15	120.83	17698.27	25.6705	1835.08	1907.915	1783.87	1654.44	270.495	453.78	303.8	385.325	2512.945	0	3	0.318	0.2504	5.519	0.69	10.76576513	141.8842612	8.676197165	24.40629225	10.71756149	34.73945874	65.4	60	0.618975676	1	1
19	2.43	19.85	4.61	145.02	10724.845	17.291	856.51	1092.8	956.74	1060.44	204.53	148.595	113.5087	256.6137	2982.085	0	3	0.31015	0.6692	5.502	0.69	10.25552554	148.1302971	10.71839173	27.8139381	11.01517391	36.50552085	84.84049884	57.6607763	0.646793588	1	0.961094706
20	9.87	17.48	25.46	99.37	3245.35	15.966	177.535	10.9175	173.188	187.0705	102.72	84.465	337.51	106.435	1855.05	548.711	3	0.41225	1.739	2.373	0.2	11.22146031	129.0707867	10.44130217	19.04146702	10	33.44446146	78.34161169	57.78415267	0.596001156	1	0.963146667
21	6.65	24.98	14.49	163.09	3541.655	14.5575	836.425	362.025	1011.76	362.265	272.885	0	162.265	0	1862.945	0	4	0.82835	0.86655	3.066	0.8046	10.25695521	145.6084212	10.15105509	25.6766187	10.84069989	34.67325903	84.86470227	57.5971961	0.615995013	1	0.960037259
22	1.18	26.83	2.04	216.44	13853.65	19.609	1624.035	1643.39	2361.155	1955.4	607.965	692.415	633.785	347.79	2822.445	1093.4	3	0.32765	0.17935	3.066	0.8046	9.821485496	154.9578108	14.44648739	29.6609666	11.15169695	34.4122968	99.09629824	54.87544255	0.609064607	1	0.914769839
23	0.03	16.93	0.04	145.19	9355.775	21.34	471.79695	882.2055	401.8965	822.62525	7.431	53.17775	117.0197	59.700225	1434.33825	0	4	0.6832	0.37385	1.4325	0.233	9.018477734	150.0582666	13.02596151	25.05247828	10.82609691	31.32966732	104.220349	53.62609909	0.557229338	1	0.89587968
24	3.83	16.33	7.88	108.05	10742.805	17.07	587.5325	1601.52	590.395	1571.054	340.28	443.235	664.13	432.99	3839.945	413.727	3	0.29515	0.86405	1.414	0.06	9.1561294	144.8732877	9.200827438	23.61540352	10.72712212	32.03142165	89.0128956	57.12738138	0.57163722	1	0.952223436
