ID	HeatJan	CoolJuly	HeatTotal	CoolTotal	zone_area	bldg_height	op_S_area	op_E_area	op_N_area	op_W_area	gl_S_area	gl_E_area	gl_N_area	gl_W_area	roof_op_area	op_belowgrade_area	bldg_mass_type	roof_op_uValue	op_uValue	gl_uValue	gl_solar_trans	zone_occ_density	zone_occ_metabolic_rate	zone_app_heat_flow_rate	zone_light_heat_flow_rate	zone_freshair_per_occ	totalocc	totalapp	totallight	avgOccWeek	avgAppWeek	avgLightWeek
1	5.76	24.84	14.87	5.3	4475	19.51	371.4542248	647.3390924	407.5935074	601.2591846	69.73302182	125.9765222	33.59373926	172.0564301	624.9	328.4	1	0.296476	0.927276	0.84	0.64	11.00523758	114.5652161	19.57839012	12.47936821	11.36471176	94.88626608	74.98630608	105.3169966	0.268052292	0.294937766	0.737389255
2	11.45	21.15	30.88	27.74	1492.022822	5	164.5405741	154.33053	183.1118918	75.40939757	43.47862272	0	82.38641587	80.71416115	1378.681114	123.2637535	3	0.100928	0.797962	3.65864	0.76	6.245438576	162.3840485	15.82169533	7.846120834	14.37889862	48.59062303	52.17230951	22.04815601	0.255304384	0.758230317	0.272365117
3	0	22.91	0	0	16127.96774	15.8	1312.487698	568.6873788	413.0654964	241.1670015	547.9235493	491.958758	718.4284986	53.02905523	3651.349601	737.845234	4	0.25232	0.293322	1.018742	0.76	8.767068863	99.93481445	5.085031986	26.28267288	11.9943924	52.27738526	126.2102643	93.98066257	0.712602711	0.426227915	0.083234227
4	11.8	29.58	28.76	19.88	522.3937939	23	67.43831674	0	57.5998848	267.5793358	9.048756096	0	3.279477312	16.43454778	137.552241	50.31628646	4	0.135622	1.488688	2.61782	0.73	6.241821289	159.2432861	10.23125362	20.46175766	12.73505688	56.01951212	51.29613827	114.2509919	0.338689947	0.365202534	0.380061746
5	0.02	23.92	0.02	0	581.3872243	12.8	94.9933584	193.5170323	98.66302848	0	11.28771936	13.09932864	7.61804928	0	140.9710729	36.17644378	4	0.123006	0.239704	1.54546	0.39	6.160721779	176.9152832	19.55583191	19.31586838	13.25464153	23.85186998	79.64268794	122.9226274	0.325082207	0.116566028	0.465111613
6	0.68	18.96	1.02	1.52	580.0865818	12.8	94.9933584	0	97.26948288	325.6251552	11.28771936	0	9.01159488	13.65674688	140.9710729	55.64892096	4	0.123006	0.239704	1.54546	0.39	12.91226006	166.480484	4.302477837	31.00601578	14.82115078	60.39944812	93.64966878	69.74479135	0.80919404	0.320194161	0.042978603
7	3.43	33.47	7.08	2.37	1204.580817	6.4	83.82641299	240.8046797	86.45463999	223.4782627	21.6733502	5.38930535	19.0451232	22.71479328	319.8586635	150.2242157	4	0.085158	0.987202	3.504094	0.73	11.61051178	103.2361221	16.92877579	28.39047623	11.05122185	124.2005908	144.5244201	81.18194226	0.627463436	0.639653552	0.935072964
8	6.08	17.93	13.52	11.87	1207.367908	6.4	83.82641299	240.8046797	86.45463999	223.4782627	21.6733502	5.38930535	19.0451232	22.71479328	294.8	150.2242157	4	0.085158	0.987202	3.504094	0.73	12.67326069	91.59076691	9.121795654	16.99353981	11.89450264	72.06131128	126.9238886	46.7076074	0.41847682	0.817307331	0.593846726
9	9.93	21.06	27.66	18.14	404.7785453	4.88	106.5597869	140.0699134	107.4888173	140.9060408	15.05029248	0	14.12126208	0	202.3892726	0	2	1.13544	0.517256	2.39704	0.68	13.15012932	104.9080582	15.56372833	5.47426796	13.86802101	89.48920666	90.89632653	36.52287277	0.083312774	0.186828101	0.263671374
10	0.92	31.61	1.62	0.04	1412.590723	8.53	145.8577728	248.7478896	138.3326266	248.7478896	19.5096384	37.3934736	27.03478464	37.3934736	302.7338461	293.4807034	4	0.208164	0.517256	3.65864	0.63	9.800700188	107.8504868	19.44750595	28.59523201	11.54056358	58.85781511	72.48474492	120.9824223	0.302573442	0.701188767	0.639192891
